11.02,101.8,Darren McFadden,RB,DAL,378,6
11.02,101.9,Brandon LaFell,WR,NE,163,4
11.02,102.0,Marques Colston,WR,NO,195,11
11.03,102.5,Markus Wheaton,WR,PIT,384,11
11.03,102.7,Buffalo Defense,DEF,BUF,296,8
11.04,104.1,Duke Johnson,RB,CLE,425,11
11.04,104.3,Sam Bradford,QB,PHI,346,8
11.05,104.7,Danny Woodhead,RB,SD,352,10
11.05,105.3,Cam Newton,QB,CAR,267,5
11.05,105.3,Terrance Williams,WR,DAL,205,6
11.07,107.2,Torrey Smith,WR,SF,180,10
11.08,107.6,Devonta Freeman,RB,ATL,308,10
11.10,110.1,Anquan Boldin,WR,SF,192,10
12.01,111.1,Delanie Walker,TE,TEN,503,4
12.03,112.8,Miami Defense,DEF,MIA,235,5
12.04,114.0,Steve Johnson,WR,SD,242,10
12.04,114.3,Breshad Perriman,WR,BAL,190,9
12.06,115.6,Tyler Eifert,TE,CIN,461,7
12.06,115.8,St. Louis Defense,DEF,STL,290,6
12.06,116.2,Knile Davis,RB,KC,432,9
12.07,116.7,Teddy Bridgewater,QB,MIN,356,5
12.09,119.4,Jonas Gray,RB,NE,241,4
12.10,120.3,Brian Quick,WR,STL,248,6
13.01,120.7,Kyle Rudolph,TE,MIN,339,5
13.01,121.0,Dwayne Allen,TE,IND,129,10
13.01,121.1,Zach Ertz,TE,PHI,263,8
13.01,121.2,Pierre Garcon,WR,WAS,154,8
13.02,121.7,Stephen Gostkowski,K,NE,416,4
13.02,121.8,Eric Decker,WR,NYJ,179,5
13.02,122.4,Richard Rodgers,TE,GB,55,7
13.03,122.6,Vernon Davis,TE,SF,59,10
13.03,122.9,DeAngelo Williams,RB,PIT,211,11
13.03,123.0,David Johnson,RB,ARI,285,9
13.04,123.7,NY Jets Defense,DEF,NYJ,213,5
13.04,124.2,Carson Palmer,QB,ARI,257,9
13.05,124.5,Dorial Green-Beckham,WR,TEN,52,4
13.05,125.5,Darren Sproles,RB,PHI,216,8
13.06,126.0,Antonio Gates,TE,SD,161,10
13.06,126.0,Ronnie Hillman,RB,DEN,320,7
13.07,126.5,Adam Vinatieri,K,IND,265,10
