10.01,108.6,Ronnie Hillman,RB,DEN,7
10.01,109.4,Duke Johnson,RB,CLE,11
10.02,110.1,Philip Rivers,QB,SD,10
10.02,110.4,Anquan Boldin,WR,SF,10
10.03,111.3,Buffalo Defense,DEF,BUF,8
10.03,111.5,Kendall Wright,WR,TEN,4
10.04,112.4,David Cobb,RB,TEN,4
10.07,115.2,Knile Davis,RB,KC,9
10.08,115.8,Cam Newton,QB,CAR,5
10.08,116.2,DeVante Parker,WR,MIA,5
10.08,116.2,Miami Defense,DEF,MIA,5
10.10,118.2,Kyle Rudolph,TE,MIN,5
10.12,119.8,David Johnson,RB,ARI,9
11.01,120.5,Darren Sproles,RB,PHI,8
11.01,121.3,Marques Colston,WR,NO,11
11.02,121.7,Teddy Bridgewater,QB,MIN,5
11.04,123.7,Pierre Garcon,WR,WAS,8
11.04,124.0,St. Louis Defense,DEF,STL,6
11.04,124.4,Torrey Smith,WR,SF,10
11.05,125.0,Julius Thomas,TE,JAC,8
11.05,125.0,DeAngelo Williams,RB,PIT,11
11.07,127.2,Michael Floyd,WR,ARI,9
11.08,127.8,Jonas Gray,RB,NE,4
11.08,128.5,Brandon LaFell,WR,NE,4
11.09,128.8,Carson Palmer,QB,ARI,9
11.12,132.2,Zach Ertz,TE,PHI,8
12.01,132.7,Brandon Coleman,WR,NO,11
12.01,132.7,Matt Jones,RB,WAS,8
12.01,133.5,Philadelphia Defense,DEF,PHI,8
12.03,134.7,Reggie Wayne,WR,NE,4
12.05,136.9,Dwayne Allen,TE,IND,10
12.06,137.8,Breshad Perriman,WR,BAL,9
12.07,139.4,Reggie Bush,RB,SF,10
12.08,140.4,Marvin Jones,WR,CIN,7
12.09,141.4,Cameron Artis-Payne,RB,CAR,5
12.11,142.7,Joe Flacco,QB,BAL,9
12.11,143.2,Michael Crabtree,WR,OAK,6
12.12,143.8,Arizona Defense,DEF,ARI,9
12.12,144.2,Stephen Gostkowski,K,NE,4
13.01,145.1,Antonio Gates,TE,SD,10
13.02,146.1,Colin Kaepernick,QB,SF,10
13.03,147.3,Tyrod Taylor,QB,BUF,9
13.04,147.5,NY Jets Defense,DEF,NYJ,5
13.04,147.7,Andre Williams,RB,NYG,11
13.04,148.2,Adam Vinatieri,K,IND,10
13.05,149.4,Jay Cutler,QB,CHI,7
13.06,150.1,Fred Jackson,RB,SEA,8
13.06,150.1,Dorial Green-Beckham,WR,TEN,4
13.06,150.1,Vernon Davis,TE,SF,10
13.07,150.8,Charles Sims,RB,TB,6
13.07,150.9,Josh Hill,TE,NO,11
13.07,151.3,Kansas City Defense,DEF,KC,9
13.09,152.6,Jerick McKinnon,RB,MIN,5
13.09,153.1,Cody Latimer,WR,DEN,7
13.09,153.2,Denver Defense,DEF,DEN,7
13.09,153.3,Denard Robinson,RB,JAC,8
13.09,153.5,Tyler Lockett,WR,SEA,9
13.10,154.4,Percy Harvin,WR,BUF,8
