1,24.5,Luck,Andrew,IND
2,22.4,Rodgers,Aaron,GB
3,21.2,Wilson,Russel,SEA
4,19.3,Brees,Drew,NO
5,18.9,Ryan,Matt,ATL
6,18.3,Brady,Tom,NE
7,17.8,Newton,Cam,CAR
8,17.7,Bridgewater,Teddy,MIN
9,17.5,Foles,Nick,STL
10,17.4,Bradford,Sam,PHI
11,17.2,Flacco,Joe,BAL
12,17.2,Tannehill,Ryan,MIA
13,17.2,Roethlisberger,Ben,PIT
14,17.1,Romo,Tony,DAL
15,16.8,Manning,Peyton,DEN
16,16.7,Manning,Eli,NYG
17,16.7,Sanchez,Mark,PHI
18,16.6,Rivers,Philip,SD
19,16.5,Stafford,Matt,DET
20,16.2,Kaepernick,Colin,SF
21,16.1,Mariota,Marcus,TEN
22,15.9,Taylor,Tyrod,BUF
23,15.6,Glennon,Mike,TB
24,15.4,Smith,Alex,KC
25,15.4,Palmer,Carson,ARI
26,15.2,Cutler,Jay,CHI
27,15.0,Dalton,Andy,CIN
28,14.6,Carr,Derek,OAK
29,13.6,Fitzpatrick,Ryan,NYJ
39,13.3,Winston,Jameis,TB
41,13.2,Cousins,Kirk,WAS
43,13.1,McCown,Josh,CLE
43,12.9,Manziel,Johnny,CLE
44,12.9,Bortles,Blake,JAC
